,0
734,424432.5790750838
735,425222.0464866955
736,426687.385303304
737,428907.0151718775
738,431909.8117926791
739,435767.888701848
740,440703.337782638
741,446984.8323073225
742,454540.58946077974
743,463203.6859866222
744,472853.5767997135
745,483388.9731370154
746,494656.366234838
747,506595.70811987534
748,519386.1490347023
749,533298.8735507466
750,548688.4149015681
751,565719.7995434334
752,583787.1595952791
753,601640.7854352971
754,617937.0684156612
755,631358.3960142346
756,641004.6510161405
757,646464.3098696341
758,648018.2165015739
759,646513.4019520917
760,642930.2250772099
761,638343.5110121417
762,633160.2985862637
763,627412.5793037104
764,621140.8695176995
765,614314.3952135565
766,606918.6325294565
767,598822.2755300152
768,590444.4967505092
769,581743.2703930767
770,572843.1032293277
771,563993.3782893327
772,555282.4041419117
773,547000.9487673109
774,539079.5401575178
775,532066.6009825825
776,526243.9100922403
777,521710.1652987008
778,518918.37913563306
779,517760.1126637163
780,518191.8622891139
781,520387.57666696986
782,524476.3136171807
783,530820.5306548277
784,539529.6772051976
785,550941.2740552268
786,565102.5971989288
787,581527.9395134799
788,599228.4869511318
789,616869.8583438747
790,633080.8140903054
791,646538.2641771507
792,656512.7240516186
793,662722.6180817423
794,665588.8596310109
795,665743.2372945169
796,663964.7044629551
797,661173.1186405037
798,657737.3658077352
799,653666.3378777195
800,648853.111412941
801,643194.812794057
802,636652.6652846303
803,629225.9274880941
804,621091.4794228963
805,612483.5466781909
806,603608.8625985535
807,594642.3858708065
808,585731.9548469099
809,577025.9911834748
810,568665.1567075255
811,560780.5271823098
812,553480.194471795
813,546810.7024105996
814,540786.9819018001
815,535366.5319632165
816,530481.6289865003
817,526028.748207449
818,521895.89649580716
819,518020.78662138013
820,514350.4311411549
821,510821.97981177596
822,507374.5316601703
823,503962.6399550952
824,500582.42614461813
825,497215.4156590463
826,493839.5097018222
827,490455.1797472536
828,487079.7361028804
829,483755.02088314184
830,480497.04195442836
831,477318.1618319152
832,474233.6801483853
833,471268.1374936222
834,468442.9398763373
835,465760.25394319644
836,463218.13534536056
837,460821.01913647406
838,458568.48313238093
839,456454.009827316
840,454469.2300412464
841,452613.74763581034
842,450888.9012436977
843,449297.74609716475
844,447838.30332155223
845,446501.1322249591
846,445279.44212363724
847,444164.6681912372
848,443148.518173677
849,442223.8094888599
850,441386.78063949937
851,440635.32131053164
852,439966.3441667448
853,439377.4208920964
854,438868.1153709593
855,438435.51168579125
856,438075.7393103992
857,437783.94524699595
858,437556.06392878835
859,437384.7068301888
860,437263.48001152667
861,437191.0496858414
862,437169.9562266628
863,437200.32562294975
864,437276.99111595
865,437395.64606384275
866,437550.74331813416
867,437730.4895853996
868,437920.64447897254
869,438108.3716622195
870,438287.48071609624
871,438454.177434644
872,438607.0989565276
873,438746.66080302506
874,438875.0508208673
875,438997.26980258175
876,439123.6973001007
877,439277.29722407117
878,439535.27173200186
879,439951.3963036156
880,440767.6939120547
